window,train_start,train_end,test_start,test_end,momentum_days,top_n,trend_days,volatility_days,target_volatility,max_position,max_group,train_total_return,train_cagr,train_annualized_volatility,train_sharpe,train_max_drawdown,train_final_equity,test_observations,test_return,test_sharpe,test_max_drawdown
11,2014-04-16,2019-04-15,2019-04-16,2019-08-15,126,5,200,60,0.15,0.3,0.5,0.2160473587496985,0.03992431985005984,0.1023812633335947,0.43391128037862503,-0.11576810705912188,1.2160473587496985,85.0,-0.024908660479945555,-0.833651552559865,-0.06342725871383592
12,2014-08-16,2019-08-15,2019-08-16,2019-12-15,126,5,200,60,0.15,0.3,0.5,0.18564960726872104,0.03470760680060825,0.10475448073022876,0.3780111828457171,-0.14937711068773962,1.185649607268721,84.0,0.019885292073846372,0.7191201571439338,-0.05478720163888651
13,2014-12-16,2019-12-15,2019-12-16,2020-04-15,126,5,200,60,0.15,0.3,0.5,0.20922659600650206,0.0387976456295398,0.10713409342261104,0.40879414711925305,-0.14937711068773962,1.209226596006502,83.0,-0.026895235014568808,-0.7220719062544622,-0.11793134866924149
14,2015-04-16,2020-04-15,2020-04-16,2020-08-15,126,5,200,60,0.15,0.3,0.5,0.1741914674771725,0.03264178310875421,0.11047796884236002,0.3461729049602221,-0.16454751817818447,1.1741914674771725,85.0,0.11774734272617926,2.5347379598001463,-0.04949103713356684
15,2015-08-16,2020-08-15,2020-08-16,2020-12-15,126,5,200,60,0.15,0.3,0.5,0.3134376126166796,0.05611473661771704,0.11393359794511061,0.5360053612935276,-0.16454751817818392,1.3134376126166796,85.0,0.08426278551347144,1.7877485861141178,-0.05736992188813539
16,2015-12-16,2020-12-15,2020-12-16,2021-04-15,252,5,200,60,0.15,0.3,0.5,0.35168802888981854,0.062132938397400306,0.10351380767546352,0.63452564144195,-0.12081714402485366,1.3516880288898185,82.0,0.06389465994341093,1.1781196504961373,-0.06753337065913156
17,2016-04-16,2021-04-15,2021-04-16,2021-08-15,252,5,200,60,0.15,0.3,0.5,0.45932712305374945,0.07867114263751573,0.10792061735993516,0.7556633490453133,-0.12081714402485555,1.4593271230537495,84.0,0.02002004612166486,0.4789690364854684,-0.06588922360640137
18,2016-08-16,2021-08-15,2021-08-16,2021-12-15,126,5,200,60,0.15,0.3,0.5,0.5853229552677333,0.09671782630154646,0.1185012024029063,0.8383456820314382,-0.16454751817818325,1.5853229552677333,86.0,0.006785767785362662,0.20044406836237472,-0.1294342009965337
19,2016-12-16,2021-12-15,2021-12-16,2022-04-15,126,5,200,60,0.15,0.3,0.5,0.49602048856779457,0.08395554742045186,0.12471115471834043,0.7095431703013824,-0.16454751817818447,1.4960204885677946,83.0,0.19241999036543933,2.7089553399158075,-0.10009550076603513
20,2017-04-16,2022-04-15,2022-04-16,2022-08-15,126,5,200,60,0.15,0.3,0.5,0.6262716447637253,0.10233582015395593,0.1328937333559835,0.7985721255064935,-0.16454751817818392,1.6262716447637253,83.0,-0.018248182372996302,-0.3203688459664129,-0.08799012473174517
21,2017-08-16,2022-08-15,2022-08-16,2022-12-15,126,5,200,60,0.15,0.3,0.5,0.5995490112767656,0.09856929217216348,0.1344956540576129,0.7671355802586881,-0.16454751817818347,1.5995490112767656,86.0,-0.11826580431368006,-2.791383242557109,-0.15216332389423481
22,2017-12-16,2022-12-15,2022-12-16,2023-04-15,252,3,200,60,0.15,0.3,0.5,0.4234850514233537,0.07331021066026366,0.12025826658291457,0.6485874650955376,-0.15321857988194743,1.4234850514233537,81.0,-0.011296948448318411,-0.3581853040886622,-0.06327840724952538
23,2018-04-16,2023-04-15,2023-04-16,2023-08-15,252,3,200,60,0.15,0.3,0.5,0.4064515513634892,0.07068445973301096,0.12204578360990542,0.6206509517369128,-0.16156693086724272,1.4064515513634892,84.0,-0.058343549030252406,-2.0337019245793253,-0.07362714819291782
24,2018-08-16,2023-08-15,2023-08-16,2023-12-15,63,3,200,60,0.15,0.3,0.5,0.4248507134572712,0.07343298686572086,0.13384731161036417,0.5975101746379798,-0.25325190665958486,1.4248507134572712,86.0,-0.015400703315591513,-0.21631228258487384,-0.10859963438785081
25,2018-12-16,2023-12-15,2023-12-16,2024-04-15,63,3,200,60,0.15,0.3,0.5,0.2979790244623548,0.05361387010025975,0.1377165499669157,0.4481399787183735,-0.28350129725114026,1.2979790244623548,81.0,0.09420633059831851,3.2590173220199072,-0.05392323677186406
26,2019-04-16,2024-04-15,2024-04-16,2024-08-15,63,3,200,60,0.15,0.3,0.5,0.5537839714343391,0.09215271093855693,0.13697687868689692,0.7132537981165373,-0.29411608919834364,1.553783971434339,85.0,-0.0632027271558192,-1.009254079431334,-0.11502562199619948
27,2019-08-16,2024-08-15,2024-08-16,2024-12-15,63,5,200,60,0.15,0.3,0.5,0.4546760587360694,0.07784848382355469,0.13867896760206544,0.611053390846012,-0.30824158172303573,1.4546760587360694,84.0,-0.010075971342022982,-0.18349183710642308,-0.06311164860198104
28,2019-12-16,2024-12-15,2024-12-16,2025-04-15,126,5,200,60,0.15,0.3,0.5,0.3449706899432554,0.06114399034003282,0.13675356912572106,0.5026970177768216,-0.3056910040178229,1.3449706899432554,82.0,0.018239799274576862,0.35896613653986786,-0.1381103968601206
29,2020-04-16,2025-04-15,2025-04-16,2025-08-15,126,4,200,60,0.15,0.3,0.5,0.25379525961764093,0.046306155716265396,0.14671303985210254,0.3826031994557163,-0.279916983779673,1.253795259617641,84.0,0.07258722173554322,1.5152604682147186,-0.07081034265716057
30,2020-08-16,2025-08-15,2025-08-16,2025-12-15,252,5,200,60,0.15,0.3,0.5,0.1632920715068269,0.0307514626387988,0.13031175942404133,0.29822254705023865,-0.2453638542273241,1.163292071506827,84.0,0.20647728776761265,3.845953596628446,-0.05577132607123725
31,2020-12-16,2025-12-15,2025-12-16,2026-04-15,252,5,200,60,0.15,0.3,0.5,0.4487676058612977,0.07701511911259007,0.12982011546717195,0.6385270745145634,-0.2453638542273221,1.4487676058612977,82.0,0.1016473710795136,1.434292511502092,-0.10274588433547494
