date,SPY_overnight_0bps,SPY_overnight_1bps,SPY_overnight_2bps,SPY_overnight_5bps,QQQ_overnight_0bps,QQQ_overnight_1bps,QQQ_overnight_2bps,QQQ_overnight_5bps,IWM_overnight_0bps,IWM_overnight_1bps,IWM_overnight_2bps,IWM_overnight_5bps,DIA_overnight_0bps,DIA_overnight_1bps,DIA_overnight_2bps,DIA_overnight_5bps,VTI_overnight_0bps,VTI_overnight_1bps,VTI_overnight_2bps,VTI_overnight_5bps
2022-09-13,284946.6569140323,126933.27584312687,56539.5420389622,4994.268260552193,479056.426197556,213402.05268420864,95055.0929123667,8396.4357760262,514351.8008199502,229124.84645708874,102058.45395845176,9015.058823336081,283297.035252804,126198.42994730608,56212.22164056438,4965.355294196343,733687.5667030186,326830.8787882475,145579.384823539,12859.36310757333
2022-09-14,285939.7231671255,127350.17654911349,56713.89536522642,5006.663340521813,480964.9711714047,214209.3911058952,95395.61956353666,8421.459119310919,515254.86244549364,229481.22413153222,102196.74983065648,9021.8581813612,283869.52860375535,126428.16529367922,56303.28855428033,4970.415256088681,736098.9047431933,327839.463640608,145999.42882949024,12888.72829754394
2022-09-15,284751.3750318272,126795.55402930165,56455.60683893908,4980.871342054247,477780.5757688484,212748.58743800336,94726.11796123227,8357.33831793181,512325.9198114254,228131.11556985838,101575.17483116225,8961.60551110636,283478.45387314726,126228.74116129687,56203.233917251884,4958.60540385033,733577.7869550484,326651.2827555534,145441.19100911764,12831.743396510676
2022-09-16,281538.2890415217,125339.74289606973,55796.24619636694,4919.744601767912,472232.95590461534,210236.2612262897,93588.78452872162,8252.041111346038,505161.3556887295,224895.85575949113,100114.65036196887,8827.448874298163,280202.58554178785,124745.09293278537,55531.531789065346,4896.403833076284,726294.9688332707,323343.67368001223,143939.6858955368,12691.651158261124
2022-09-19,279128.5748962121,124242.09545571037,55296.55533053629,4872.759603057986,467816.34329359187,208228.3506833218,92676.40305576692,8166.690135895079,499573.0679272724,222363.49257900772,98967.54498373324,8721.06865116523,277764.87339243665,123635.10230759637,55026.400274982676,4848.953406932512,719839.1269642381,320405.4674742633,142603.18610541068,12566.262769320918
2022-09-20,276621.45725385513,123101.5357269978,54777.9669233025,4824.164956459679,463701.6953426901,206355.61457372288,91824.53299872162,8086.767711842051,494730.25659497257,220163.883749494,97968.9641604573,8627.893115954344,275561.7488469061,122629.9463802676,54568.11815509662,4805.684075722523,714036.6910117848,317759.2009730082,141397.12309581682,12452.507540817245
2022-09-21,278076.2486211426,123724.19556275538,55044.02778064391,4844.687598726799,465082.6889454546,206928.78965846714,92061.16875335203,8102.742850887508,498369.9670255745,221739.2660057216,98650.24591643109,8682.678980311637,276907.9276802703,123204.37565981521,54812.763547740884,4824.332929812712,717390.7549895433,319187.97274256014,142004.492807369,12498.493170030673
2022-09-22,277479.35378918407,123433.92923480633,54903.90679776308,4829.455324413023,462524.116843452,205749.2506315322,91518.09190886308,8050.1108578195535,497403.55785544566,221265.02286767168,98419.56963082592,8657.17837404241,276678.55048164894,123077.69985253656,54745.45453974937,4815.517553027341,716222.8063381569,318604.5880050053,141716.59861763363,12465.669961750806
2022-09-23,274780.34760979115,122208.85775639296,54348.11774898732,4777.698546041835,458362.46840638237,203857.2051808163,90658.36629642147,7969.702775015013,490467.45248797635,218135.93168738062,97008.33080579668,8527.922957431954,274192.8119106625,121947.55061668718,54231.910532439375,4767.482864753598,708720.3956165984,315204.1649643683,140176.03459319213,12322.76046355423
2022-09-26,273630.2761544968,121673.02397326636,54099.001897714996,4752.945353461789,457563.75191706466,203461.27679551463,90464.19362348033,7947.861395859787,487582.7010867776,216809.56695298458,96399.19179299171,8469.289166854815,273025.0905805877,121403.9208612971,53979.35163104373,4742.4333077850615,705797.216900249,313841.3003818366,139542.03282289353,12259.665303477706
2022-09-27,276416.834050019,122887.5195773517,54628.06999330566,4796.547588970436,463300.58559165295,205971.02914430588,91561.7780828081,8039.464435751882,493938.27051869314,219591.7231198226,97616.6828152907,8571.107576349603,274946.5041926106,122233.85031094083,54337.489708499095,4771.033559925285,713426.8051789317,317170.44582229946,140994.05190843914,12379.801809280063
2022-09-28,277177.5104130781,123201.05200392922,54756.49277340362,4804.938748060586,463266.8169720386,205914.82737689803,91518.48603403197,8030.841594046711,497026.7408737765,220920.58355844495,98187.76820776013,8616.077987307082,275937.59442466445,122649.92881236484,54511.54703174568,4783.444506452862,715700.7642948247,318117.7540332573,141386.88117093212,12406.84473012183
2022-09-29,274394.75388585165,121939.76880127873,54185.07792742752,4751.943485151585,456515.0283339912,202873.182599235,90148.59808729915,7905.885896302405,490709.39101500437,218069.0003784792,96901.00198828743,8498.060770894024,274114.95295889175,121815.42655398588,54129.82528568923,4747.097918051068,709691.5972110474,315383.68740141985,140143.69427528468,12290.37477603086
2022-09-30,273645.9524765043,121582.68470801988,54015.59844627208,4734.238019126442,455104.4576370816,202205.88421403777,89834.10648817717,7873.57827338743,489675.73194893973,217566.12728203688,96658.20914383663,8471.68191692991,273176.7693336781,121374.22357198637,53922.98531601696,4726.120871211127,708209.4493049224,314662.08581862214,139795.07784897505,12252.445431992459
2022-10-03,276633.8707819211,122885.6555162292,54583.55048078444,4781.146051741554,458186.67040139297,203534.61845408182,90406.33810598198,7918.977469961419,496861.00703757524,220714.442442227,98037.30028760213,8587.397614570453,276276.5484436217,122726.92661709603,54513.04602001406,4774.970342736336,716298.9155304084,318192.64044462965,141335.3249357058,12380.008717568771
2022-10-04,281002.8356080841,124801.46288599716,55423.429458803854,4851.800737498091,467332.6110088147,207555.88954119192,92174.07341814181,8068.9744708194285,506605.14136150497,224997.95281661893,99919.96790693243,8747.054787397983,279856.6793421558,124292.42183531202,55197.36799997267,4832.011179843763,728598.5118201773,323591.61050794146,143704.7001190226,12579.996886292834
2022-10-05,277597.81986461056,123264.5405935326,54729.94462865696,4788.217854245209,460955.1925337336,204682.55143209107,90879.86417172599,7950.904960181435,499149.91457215877,221642.53644732104,98410.16474573484,8609.716510255996,276708.48197173304,122869.6389806486,54554.60674719623,4772.877879388105,720811.7663240497,320069.2688209165,142112.0240707935,12433.108339057415
2022-10-06,276515.637422398,122759.4527099061,54494.781924443894,4764.783191097165,459287.7085307646,203901.3354224755,90514.89366125135,7914.222768320305,496721.4055847719,220520.0706451739,97892.2021440544,8559.262058561588,275502.234435377,122309.55122433153,54295.063835102155,4747.320722922294,718150.2651026284,318823.6814715899,141530.66513908116,12374.816642343761
2022-10-07,273381.53045462864,121343.78972043854,53855.573855695446,4706.068181629317,451506.0576493553,200406.5747448171,88945.72282769579,7772.354950910586,491603.213415973,218204.19563618078,96844.77632337778,8462.598906357434,273200.5646465501,121263.46579758533,53819.923980497406,4702.952984234954,710194.9718706982,315228.8641587394,139906.88286776343,12225.50021691577
2022-10-10,274263.203522707,121710.7854597276,54007.65201146601,4716.525489799964,451841.52087760053,200515.3651783187,88976.20719969658,7770.353526089281,493585.83712302224,219040.39315674035,97196.45868178354,8488.233756090689,274422.14960599085,121781.32154475138,54038.95152465077,4719.258897868218,712141.6804791632,316029.71954111545,140234.26973861133,12246.755471340053
2022-10-11,272907.1742410098,121084.79479118004,53719.12990108815,4688.51371708088,448941.4018863428,199188.52507947106,88369.75998516995,7712.761406011298,491495.79961299594,218069.2691658972,96746.18037682287,8443.841041489599,273689.0195824342,121431.68777040805,53873.02857222245,4701.9457296988,708520.9828102113,314360.06784143904,139465.48242669323,12172.30861000255
2022-10-12,273235.2190320531,121206.0984581097,53762.191006405534,4689.456512731767,450051.9471142674,199641.32298332016,88552.92823991147,7724.110537211,492023.139683607,218259.58353181503,96811.24603537432,8444.449895506981,273848.1154744718,121477.9769765816,53882.785473404925,4699.9754759303405,710018.6017419496,314961.5370035013,139704.37566642318,12185.84254216841
2022-10-13,267602.8006260922,118683.83885980197,52632.88803829515,4588.197314731692,437201.12365458306,193901.96062128205,85989.97371361875,7496.053915939732,482433.40807879117,213962.81627489877,94886.3894321606,8271.58632983368,269142.78601530794,119366.83387088872,52935.77679125935,4614.601211892019,698415.8654517944,309752.6477244477,137366.43997928622,11974.724445837861
2022-10-14,269489.3796759972,119496.64783065084,52982.74637053597,4615.92436236676,441071.9986830272,195579.6007915257,86716.61148749,7554.861667374808,486205.0136120022,215592.42651767345,95589.95219499619,8327.918414205398,270915.855949478,120129.17417768607,53263.19761018205,4640.357631651938,703509.0472969993,311949.11269452714,138312.83988678048,12049.990817700818
2022-10-17,274297.0047489107,121604.11453001694,53906.37667481472,4693.574234993125,451390.73144388624,200115.09150286808,88709.82320426089,7723.875471987491,496144.22959926905,219955.66366036577,97505.03017813289,8489.665335643496,274630.6031810149,121752.00875139971,53971.937298620156,4699.282532855193,716605.2464190193,317692.665066169,140831.2583506807,12262.036635551603
2022-10-18,280510.90894747904,124334.05466735024,55105.51895059621,4795.103418825928,463423.49622849835,205408.4902808447,91038.14304188931,7921.843750988036,506895.4857556438,224677.07681335192,99578.08379391508,8664.961679581003,280267.59625555895,124226.20840336136,55057.72090878151,4790.944188351701,731893.4358604981,324405.48856512265,143778.2500187138,12511.116696598896
2022-10-19,278893.5022333955,123592.43081813958,54765.871375329356,4762.6889171806915,460777.49245004833,204194.82670675754,90482.13989240928,7868.737847974852,502006.03508117434,222465.36998605583,98578.1229276795,8572.801304055129,279230.89224891685,123741.9461414385,54832.12411354508,4768.450556210805,727144.0430625394,322235.90409008675,142788.11379539972,12417.502908295564
2022-10-20,278537.6903383601,123410.06607171374,54674.12494944657,4751.8572625577135,459227.23678015836,203467.127066808,90141.65118338935,7834.423691843187,502621.79908967874,222693.702096082,98659.56385422136,8574.735589365986,279671.2233620902,123912.29392168051,54896.62599086266,4771.19535330098,725845.9857958984,321596.33748719696,142476.20877896473,12382.943632916307
2022-10-21,278316.7103554415,123287.49656414382,54608.89870467718,4743.340440346317,457299.09709322697,202572.31694663657,89727.27522904205,7793.730020040724,503722.03369849443,223136.5426085099,98835.98249786979,8584.91425140858,279626.94827347057,123867.89992049012,54865.98226122494,4765.670772201517,724737.2046402426,321040.85849850514,142201.6685421626,12351.66687261904
2022-10-24,279506.42164985684,123789.74790988855,54820.39882942357,4758.854216091234,457747.3556544466,202730.33237807726,89779.30614963216,7793.570253243289,505530.4921806674,223892.8602012653,99151.15022472048,8607.122154389697,281111.1017600228,124500.43979718495,55135.12935730861,4786.1753726596135,728177.3536454422,322500.2506539185,142819.51988711115,12397.889998387278
2022-10-25,279447.40997644875,123738.86092471398,54786.90336256981,4753.092827984077,459325.4084855279,203388.54757884025,90052.78227051838,7812.619572918711,505909.41619770444,224015.87080970785,99185.78346377848,8604.96226442608,280486.493811157,124198.96556523742,54990.620354052175,4770.766500189035,728407.8742521688,322537.8279804112,142807.59237865693,12389.416109624723
2022-10-26,277051.6564619663,122653.49076715545,54295.48055757913,4707.632532336231,450032.58888843056,199233.84935157112,88195.59497426466,7646.906295806737,508692.05336568976,225202.97069358942,99691.44327098975,8643.641730739893,280037.3360786748,123975.2804722903,54880.60216143638,4758.364885552469,722065.3044077116,319665.4056447132,141507.48346871222,12269.257512877062
2022-10-27,277813.1103174303,122965.99698253654,54422.93154734641,4715.851685022067,448186.7295835165,198376.98794923385,87798.72078996815,7607.928011374235,513067.30993046175,227094.51405177114,100508.67309905648,8709.269822798306,282834.38678737317,125188.52084595797,55406.58773726464,4801.087385650836,724739.043576849,320784.92963766184,141974.66531800738,12302.37779616673
2022-10-28,277732.69824223046,122905.82003448936,54385.418316595256,4709.773389455541,447135.5296291894,197872.12410870328,87557.75959043394,7582.495803540486,515187.31122820143,227987.2674647799,100883.61078791897,8736.513577135627,283990.6105249236,125675.15128600023,55610.838223711,4815.894666961337,724701.0791280344,320703.9753469207,141910.44695965466,12289.434695262504
2022-10-31,275890.79484192096,122066.30049968055,54003.1303759459,4673.86114015248,443478.61160086485,196214.56924603126,86806.93132566183,7512.963418869129,512683.9634291154,226834.0804091125,100353.2536653968,8685.370076314792,282555.88980885805,125015.23355690543,55307.76249560024,4786.774397658097,719876.8979474243,318505.40645249444,140909.39857837866,12195.421963744127
2022-11-01,278698.1663311353,123283.74547236133,54530.82910285465,4716.700531136398,449142.7705232531,198680.90174712558,87880.47651912343,7601.312818707464,518025.27072242246,229151.47402912827,101358.21085798318,8767.083406840437,284238.7111535902,125734.63751324583,55614.906930949124,4810.468965464129,727185.8429491344,321674.8626423589,142283.1281952507,12306.926510588528
2022-11-02,278248.83889218,123060.36711573898,54421.13750633494,4704.3881741617315,449093.7510956839,198619.48786292959,87835.7404074715,7592.884628579367,515937.1224929037,228182.12631326716,100909.26236960568,8723.013930013884,283411.37423140864,125343.58776321122,55430.848981488736,4791.6718095410415,725832.4843846805,321011.98462689284,141961.5247867013,12271.741257058284
