window,train_start,train_end,test_start,test_end,momentum_days,top_n,trend_days,volatility_days,target_volatility,max_position,train_total_return,train_cagr,train_annualized_volatility,train_sharpe,train_max_drawdown,train_final_equity,test_observations,test_return,test_sharpe,test_max_drawdown
14,2015-04-16,2020-04-15,2020-04-16,2020-08-15,126,2,200,60,0.15,0.4,0.39214479810267155,0.06841706533725245,0.13393657704266518,0.5978210553702491,-0.174559539711167,1.3921447981026716,85.0,0.20752747455087572,2.932320275483431,-0.06489303572822347
15,2015-08-16,2020-08-15,2020-08-16,2020-12-15,126,2,200,60,0.15,0.4,0.6736158882083132,0.10862925882241581,0.14136647025598886,0.8335297020478316,-0.17455953971116867,1.6736158882083132,85.0,0.039920098396986514,1.0744664755210573,-0.05384326502248726
16,2015-12-16,2020-12-15,2020-12-16,2021-04-15,126,2,200,60,0.15,0.4,0.6823483695875141,0.10965857206254337,0.14049507767712202,0.8420480682297123,-0.17455953971116722,1.682348369587514,82.0,0.15498087963808294,2.376082897674086,-0.05675714569380197
17,2016-04-16,2021-04-15,2021-04-16,2021-08-15,126,2,200,60,0.15,0.4,0.804450874626317,0.12553865228870897,0.14198955437950578,0.9343735851246942,-0.17455953971116778,1.804450874626317,84.0,0.024008761179525884,0.5455579322730428,-0.073202966826447
18,2016-08-16,2021-08-15,2021-08-16,2021-12-15,126,2,200,60,0.15,0.4,0.9318398283421929,0.14102769986585928,0.14409189218422436,1.016061744347043,-0.1745595397111691,1.931839828342193,86.0,0.0353094226558317,0.5921995704806738,-0.1292659327532073
19,2016-12-16,2021-12-15,2021-12-16,2022-04-15,126,2,200,60,0.15,0.4,0.7419046281618704,0.1174751948199122,0.15060624644805273,0.8401671877897716,-0.174559539711169,1.7419046281618704,83.0,0.16226250350890092,1.9914681626414388,-0.11918423240019083
20,2017-04-16,2022-04-15,2022-04-16,2022-08-15,126,2,200,60,0.15,0.4,0.801197856805969,0.12513181700655962,0.16081728517910704,0.8381820525593988,-0.17455953971116966,1.801197856805969,83.0,0.024891971680258917,0.5555088572550868,-0.09255348059518098
21,2017-08-16,2022-08-15,2022-08-16,2022-12-15,126,2,200,60,0.15,0.4,0.7911824830109799,0.12373172862676385,0.1596410710315621,0.8374238953212848,-0.17455953971117055,1.79118248301098,86.0,-0.12176307682267173,-2.747433375827772,-0.15149964928761062
22,2017-12-16,2022-12-15,2022-12-16,2023-04-15,126,2,200,60,0.15,0.4,0.588471630880689,0.0971539041539411,0.15741184831458094,0.6944992409262065,-0.17455953971116867,1.588471630880689,81.0,-0.0002909325678904784,0.05600834428577737,-0.07964560449864566
23,2018-04-16,2023-04-15,2023-04-16,2023-08-15,252,4,200,60,0.15,0.4,0.47781372911072384,0.08134875944742515,0.14160821742585397,0.646595764211363,-0.19662287422792257,1.4778137291107238,84.0,-0.08311148014119263,-2.1607916303319796,-0.09692016563714234
24,2018-08-16,2023-08-15,2023-08-16,2023-12-15,63,3,200,60,0.15,0.4,0.47164305204675006,0.08039728342310304,0.14806817016523788,0.6333837250647848,-0.26417983807671064,1.47164305204675,86.0,-0.018487018479596995,-0.2292541415731973,-0.12043077297139837
25,2018-12-16,2023-12-15,2023-12-16,2024-04-15,63,3,200,60,0.15,0.4,0.26939228750851885,0.04892570712536726,0.1484823263690251,0.43307084368111687,-0.2965660782974544,1.2693922875085188,81.0,0.11185490094483175,3.397574413075535,-0.06291666089280368
26,2019-04-16,2024-04-15,2024-04-16,2024-08-15,63,4,200,60,0.15,0.4,0.5694822764823053,0.09435101083426756,0.14044167719218642,0.7489278856757116,-0.31224148151352105,1.5694822764823053,85.0,-0.09248433159909875,-1.5139755805115784,-0.13718504790481723
27,2019-08-16,2024-08-15,2024-08-16,2024-12-15,63,4,200,60,0.15,0.4,0.45100952743351863,0.07730451431371033,0.14368491195261002,0.6282772118967204,-0.3122414815135194,1.4510095274335186,84.0,0.008712242486596189,0.2652552335945829,-0.06636354174202763
28,2019-12-16,2024-12-15,2024-12-16,2025-04-15,126,4,200,60,0.15,0.4,0.3177370418347185,0.05680610595646707,0.14472712363449647,0.4910316785457025,-0.30446237856502456,1.3177370418347185,82.0,0.04092907463100559,0.683522880927136,-0.12551343974007945
29,2020-04-16,2025-04-15,2025-04-16,2025-08-15,126,4,200,60,0.15,0.4,0.26027687494238605,0.04738646154511694,0.1495798492966132,0.4204395906839342,-0.30446237856502545,1.260276874942386,84.0,0.08842951469577298,1.8487876799391765,-0.06408186289053197
30,2020-08-16,2025-08-15,2025-08-16,2025-12-15,126,4,200,60,0.15,0.4,0.17559535980296404,0.032925278663475055,0.14837616086593441,0.3311220257850746,-0.3044623785650238,1.175595359802964,84.0,0.2733718708268602,4.2953927407251316,-0.05633610889805407
31,2020-12-16,2025-12-15,2025-12-16,2026-04-15,252,3,200,60,0.15,0.4,0.42892505712628193,0.07404659978620143,0.1336229137444205,0.6339296101662804,-0.29056956433552483,1.428925057126282,82.0,0.09447353762255739,1.3697639670288022,-0.10578292212360096
