window,train_start,train_end,test_start,test_end,momentum_days,top_n,trend_days,volatility_days,target_volatility,max_position,max_group,train_total_return,train_cagr,train_annualized_volatility,train_sharpe,train_max_drawdown,train_final_equity,test_observations,test_return,test_sharpe,test_max_drawdown
15,2015-08-16,2020-08-15,2020-08-16,2020-12-15,126,2,200,60,0.15,0.4,1.0,0.673616260833815,0.10862930824989614,0.141407917551367,0.7997400830538366,-0.1745594737200029,1.673616260833815,85.0,0.03992009839698696,1.0744664755211115,-0.0538432650224866
16,2015-12-16,2020-12-15,2020-12-16,2021-04-15,126,2,200,60,0.15,0.4,1.0,0.682348744157278,0.10965862148172745,0.14054927476906284,0.811199745133002,-0.17455947372000247,1.682348744157278,82.0,0.15498087963808183,2.376082897674077,-0.05675714569380208
17,2016-04-16,2021-04-15,2021-04-16,2021-08-15,126,2,200,60,0.15,0.4,1.0,0.8044512145030955,0.12553869476439172,0.14198454821723866,0.9039329883015212,-0.17455947372000225,1.8044512145030955,84.0,0.024008761179525884,0.5455579322730629,-0.07320296682644689
18,2016-08-16,2021-08-15,2021-08-16,2021-12-15,126,2,200,60,0.15,0.4,1.0,0.9318400672882734,0.14102772814254583,0.1440858062422943,0.987761061683721,-0.17455947372000236,1.9318400672882734,86.0,0.0353093921790435,0.5921992696046026,-0.12926593187215074
19,2016-12-16,2021-12-15,2021-12-16,2022-04-15,126,2,200,60,0.15,0.4,1.0,0.7419047622774373,0.11747521203939293,0.15062670594696315,0.8135205740636663,-0.1745594737200009,1.7419047622774373,83.0,0.16226250355704241,1.9914684756017336,-0.11918423240019083
20,2017-04-16,2022-04-15,2022-04-16,2022-08-15,126,2,200,60,0.15,0.4,1.0,0.8011979470577382,0.12513182830195024,0.16082599638298387,0.8124083110408212,-0.17455947372000336,1.8011979470577382,83.0,0.02489197168025825,0.5555088572550648,-0.09255348059518143
21,2017-08-16,2022-08-15,2022-08-16,2022-12-15,126,2,200,60,0.15,0.4,1.0,0.7911825727609141,0.12373173989573583,0.15964551197140175,0.8114299014948719,-0.17455947372000402,1.791182572760914,86.0,-0.12176307682267151,-2.747433375827786,-0.1514996492876105
22,2017-12-16,2022-12-15,2022-12-16,2023-04-15,126,2,200,60,0.15,0.4,1.0,0.5884717104734818,0.09715391516845617,0.15740810766582544,0.6677743614924954,-0.17455947372000302,1.5884717104734818,81.0,-0.0002909325678904784,0.056008344285758425,-0.07964560449864566
23,2018-04-16,2023-04-15,2023-04-16,2023-08-15,252,4,200,60,0.15,0.4,1.0,0.4778136949594658,0.08134875444341505,0.1415942274813973,0.6233320628454366,-0.1966228484125918,1.4778136949594658,84.0,-0.08311148161956672,-2.160791025242368,-0.09692016709325157
24,2018-08-16,2023-08-15,2023-08-16,2023-12-15,63,3,200,60,0.15,0.4,1.0,0.471643211022605,0.08039730678131018,0.14808600887342904,0.5974339355390039,-0.2641798276602062,1.471643211022605,86.0,-0.018486997043232534,-0.22925369403286966,-0.1204307819106617
25,2018-12-16,2023-12-15,2023-12-16,2024-04-15,63,3,200,60,0.15,0.4,1.0,0.2693924336983622,0.04892573131512079,0.1485153536463347,0.3959924602005159,-0.2965660697243323,1.2693924336983622,81.0,0.1118548343704846,3.3975733367722722,-0.06291666089280379
26,2019-04-16,2024-04-15,2024-04-16,2024-08-15,63,4,200,60,0.15,0.4,1.0,0.5694823278996033,0.09435101800558465,0.14043122826921134,0.7135003099687868,-0.31224150510688453,1.5694823278996033,85.0,-0.09248430041142519,-1.513975019519759,-0.13718504790481656
27,2019-08-16,2024-08-15,2024-08-16,2024-12-15,63,4,200,60,0.15,0.4,1.0,0.45100960998676065,0.07730452657374753,0.1437186730503977,0.5909982920643608,-0.31224150510688486,1.4510096099867607,84.0,0.008712234906669503,0.26525505991420983,-0.06636354403421596
28,2019-12-16,2024-12-15,2024-12-16,2025-04-15,126,4,200,60,0.15,0.4,1.0,0.3177371723728559,0.0568061269202349,0.1447558950249665,0.4544255277356024,-0.30446236109290237,1.317737172372856,82.0,0.040929077252951584,0.6835229072270163,-0.12551343974007945
29,2020-04-16,2025-04-15,2025-04-16,2025-08-15,126,4,200,60,0.15,0.4,1.0,0.26027699989802877,0.047386482328880986,0.14962468459426673,0.38495442636897154,-0.30446236109290314,1.2602769998980288,84.0,0.0884295146957732,1.8487876799391916,-0.06408186289053164
30,2020-08-16,2025-08-15,2025-08-16,2025-12-15,126,4,200,60,0.15,0.4,1.0,0.17559547636249118,0.032925299171516764,0.14839921774078535,0.2931170815655249,-0.30446236109290103,1.1755954763624912,84.0,0.2733718708268602,4.295392740725121,-0.05633610889805396
31,2020-12-16,2025-12-15,2025-12-16,2026-04-15,252,3,200,60,0.15,0.4,1.0,0.4289249143188665,0.07404657830335593,0.1336790231651635,0.6031528717886452,-0.2905695895367767,1.4289249143188665,82.0,0.09447353762255806,1.3697639670287955,-0.10578292212360074
