date,equity
2022-08-01,84924.88
2022-08-02,84908.72
2022-08-03,84931.75
2022-08-04,85035.6
2022-08-05,84931.51
2022-08-08,84906.1
2022-08-09,84678.38
2022-08-10,84830.39
2022-08-11,84888.36
2022-08-12,84971.64
2022-08-15,84894.41
2022-08-16,84958.5
2022-08-17,84816.23
2022-08-18,84740.87
2022-08-19,84232.08
2022-08-22,83888.29
2022-08-23,83894.87
2022-08-24,84005.44
2022-08-25,84526.36
2022-08-26,83911.36
2022-08-29,83724.51
2022-08-30,83547.5
2022-08-31,83400.31
2022-09-01,82836.24
2022-09-02,82658.52
2022-09-06,82649.91
2022-09-07,83050.84
2022-09-08,83386.67
2022-09-09,83651.81
2022-09-12,83842.81
2022-09-13,83157.98
2022-09-14,83248.37
2022-09-15,82851.94
2022-09-16,82831.08
2022-09-19,82961.08
2022-09-20,82840.96
2022-09-21,82630.24
2022-09-22,82360.02
2022-09-23,81963.03
2022-09-26,81911.72
2022-09-27,82071.75
2022-09-28,82452.94
2022-09-29,82102.47
2022-09-30,82070.76
2022-10-03,81958.57
2022-10-04,82577.32
2022-10-05,82486.72
2022-10-06,82483.47
2022-10-07,81926.99
2022-10-10,81505.0
2022-10-11,81253.49
2022-10-12,81032.74
2022-10-13,81266.85
2022-10-14,81000.15
2022-10-17,81449.93
2022-10-18,81643.04
2022-10-19,81379.9
2022-10-20,81444.6
2022-10-21,81696.26
2022-10-24,81913.75
2022-10-25,82254.46
2022-10-26,82133.71
2022-10-27,82311.16
2022-10-28,82560.55
2022-10-31,82453.14
2022-11-01,82784.56
2022-11-02,82393.27
2022-11-03,82416.37
2022-11-04,82489.47
2022-11-07,82619.3
2022-11-08,82603.44
2022-11-09,82483.13
2022-11-10,83346.03
2022-11-11,83282.77
2022-11-14,83242.96
2022-11-15,83719.69
2022-11-16,83442.47
2022-11-17,83305.68
2022-11-18,83115.15
2022-11-21,82986.76
2022-11-22,82986.49
2022-11-23,83102.62
2022-11-25,83125.66
2022-11-28,82832.2
2022-11-29,82800.08
2022-11-30,82880.22
2022-12-01,82981.1
2022-12-02,82981.98
2022-12-05,82798.77
2022-12-06,82704.59
2022-12-07,82695.63
2022-12-08,82965.2
2022-12-09,82983.31
2022-12-12,83423.96
2022-12-13,83643.3
2022-12-14,83544.48
2022-12-15,82927.84
2022-12-16,82873.37
2022-12-19,82653.47
2022-12-20,82761.14
2022-12-21,83038.25
2022-12-22,82619.69
2022-12-23,82650.9
2022-12-27,82603.99
2022-12-28,82405.91
2022-12-29,82762.48
2022-12-30,82771.47
2023-01-03,82880.44
2023-01-04,83028.42
2023-01-05,82730.61
2023-01-06,83463.21
2023-01-09,83642.14
2023-01-10,83800.44
2023-01-11,84073.8
2023-01-12,84266.75
2023-01-13,84376.79
2023-01-17,84244.69
2023-01-18,83945.35
2023-01-19,83558.49
2023-01-20,83772.21
2023-01-23,84262.79
2023-01-24,84317.38
2023-01-25,84159.42
2023-01-26,84117.54
2023-01-27,84364.85
2023-01-30,83076.94
2023-01-31,83358.78
2023-02-01,84700.2
2023-02-02,86594.49
2023-02-03,85574.13
2023-02-06,84841.79
2023-02-07,86214.44
2023-02-08,85190.1
2023-02-09,84758.87
2023-02-10,84166.8
2023-02-13,85198.45
2023-02-14,85813.35
2023-02-15,86498.28
2023-02-16,85475.53
2023-02-17,84919.93
2023-02-21,83348.75
2023-02-22,83476.7
2023-02-23,84046.66
2023-02-24,82886.17
2023-02-27,83277.17
2023-02-28,83525.33
2023-03-01,83823.59
2023-03-02,84644.55
2023-03-03,85734.89
2023-03-06,85943.42
2023-03-07,84985.95
2023-03-08,85509.3
2023-03-09,83992.72
2023-03-10,82786.1
2023-03-13,82877.83
2023-03-14,84401.76
2023-03-15,84139.5
2023-03-16,85716.99
