date,equity
2026-01-29,114929.35
2026-01-30,113677.09
2026-02-02,114206.16
2026-02-03,112891.05
2026-02-04,111240.08
2026-02-05,110246.51
2026-02-06,112861.21
2026-02-09,114138.65
2026-02-10,113774.6
2026-02-11,114679.47
2026-02-12,112907.31
2026-02-13,113281.4
2026-02-17,113163.62
2026-02-18,113933.07
2026-02-19,113662.99
2026-02-20,113705.1
2026-02-23,112753.9
2026-02-24,113699.15
2026-02-25,114545.7
2026-02-26,113555.95
2026-02-27,113281.71
2026-03-02,113123.6
2026-03-03,111806.37
2026-03-04,112836.87
2026-03-05,111908.27
2026-03-06,109620.85
2026-03-09,111286.74
2026-03-10,111477.0
2026-03-11,111787.98
2026-03-12,109829.14
2026-03-13,109666.29
2026-03-16,111010.92
2026-03-17,112015.0
2026-03-18,110333.83
2026-03-19,110482.06
2026-03-20,109394.27
2026-03-23,109779.58
2026-03-24,109982.39
2026-03-25,110130.14
2026-03-26,109487.44
2026-03-27,109129.89
2026-03-30,108472.3
2026-03-31,110055.55
2026-04-01,110598.95
2026-04-02,111118.25
2026-04-06,111392.5
2026-04-07,111968.8
2026-04-08,112954.69
2026-04-09,113877.25
2026-04-10,114249.02
2026-04-13,115452.44
2026-04-14,118108.34
2026-04-15,118651.58
2026-04-16,119034.68
2026-04-17,120431.57
2026-04-20,120270.88
2026-04-21,119937.24
2026-04-22,121146.17
2026-04-23,121762.8
2026-04-24,123199.31
2026-04-27,122813.54
2026-04-28,121437.0
2026-04-29,122160.14
2026-04-30,123187.54
2026-05-01,123953.93
2026-05-04,123672.98
2026-05-05,124109.48
2026-05-06,125813.32
2026-05-07,125403.09
2026-05-08,127266.5
2026-05-11,127554.92
2026-05-12,126597.59
2026-05-13,127661.86
2026-05-14,128397.24
2026-05-15,126918.6
2026-05-18,126278.88
2026-05-19,125781.86
2026-05-20,127803.84
2026-05-21,128372.07
2026-05-22,129665.74
2026-05-26,131969.78
2026-05-27,131746.68
2026-05-28,132048.39
2026-05-29,132082.91
2026-06-01,131832.41
2026-06-02,132666.86
2026-06-03,132705.99
2026-06-04,132359.81
2026-06-05,127495.7
2026-06-08,129053.22
2026-06-09,127930.96
2026-06-10,125582.23
2026-06-11,129249.75
2026-06-12,131351.24
2026-06-15,134602.1
2026-06-16,132079.3
2026-06-17,131443.85
2026-06-18,134387.92
2026-06-22,134653.47
2026-06-23,131298.5
2026-06-24,130679.39
2026-06-25,131180.39
2026-06-26,130002.85
2026-06-29,133105.68
2026-06-30,134474.65
2026-07-01,133021.41
2026-07-02,130288.08
2026-07-06,131774.94
2026-07-07,129188.96
2026-07-08,130272.08
2026-07-09,132319.67
2026-07-10,132492.73
2026-07-13,130358.84
