date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2025-08-14,BUY,ORCL,11.0,242.1995,2664.19,0.6152,score=+0.62 sector=software,20427.03,101195.17
2025-08-19,STOP,INTU,5.0,693.2421,3466.21,,stop pl=-6.87% vs -5.87%,23891.51,99962.76
2025-08-19,BUY,RBLX,24.0,118.28,2838.72,0.5855,score=+0.59 sector=software,21051.37,99961.34
2025-08-19,BUY,JOBY,71.0,14.85,1054.35,0.5681,score=+0.57 sector=space_defense,19996.49,99960.81
2025-08-20,STOP,JBL,14.0,203.859,2854.03,,stop pl=-8.28% vs -8.22%,22849.09,99543.01
2025-08-20,BUY,TSM,13.0,226.0995,2939.29,0.7402,score=+0.74 sector=ai_infra,19908.33,99541.54
2025-08-21,STOP,ZS,12.0,270.35,3244.2,,stop pl=-7.14% vs -6.94%,23150.91,99015.23
2025-08-21,BUY,AMD,16.0,163.71,2619.36,0.6795,score=+0.68 sector=ai_infra,20530.24,99013.92
2025-08-21,BUY,NVDA,4.0,174.7472,698.99,0.6776,score=+0.68 sector=mega_cap_tech,19830.9,99013.57
2025-09-02,STOP,SE,19.0,178.78,3396.82,,trailing lock hw=17.14% now=11.22%,23226.02,99519.47
2025-09-02,BUY,NVDA,15.0,170.5528,2558.29,0.8881,score=+0.89 sector=mega_cap_tech,20666.45,99518.19
2025-09-02,BUY,EBAY,8.0,89.0287,712.23,0.7068,score=+0.71 sector=other,19953.86,99517.83
2025-09-03,STOP,ORCL,11.0,220.9319,2430.25,,stop pl=-8.78% vs -8.28%,22382.9,100188.38
2025-09-03,STOP,JOBY,71.0,13.04,925.84,,stop pl=-12.19% vs -12.00%,23308.28,100187.91
2025-09-03,BUY,CDNS,9.0,347.32,3125.88,0.7373,score=+0.74 sector=software,20180.83,100186.35
2025-09-05,STOP,RBLX,24.0,127.69,3064.56,,trailing lock hw=12.83% now=7.96%,23243.86,100924.73
2025-09-05,BUY,EA,18.0,168.1441,3026.59,0.7482,score=+0.75 sector=other,20215.75,100923.21
2025-09-19,SELL,VEEV,10.0,277.79,2777.9,-0.0057,score=-0.01 <= exit_thr=+0.00,22992.26,105303.5
