window,train_start,train_end,test_start,test_end,momentum_days,top_n,trend_days,volatility_days,target_volatility,max_position,max_group,train_total_return,train_cagr,train_annualized_volatility,train_sharpe,train_max_drawdown,train_final_equity,test_observations,test_return,test_sharpe,test_max_drawdown
17,2016-04-16,2021-04-15,2021-04-16,2021-08-15,126,7,200,60,0.15,0.25,0.35,0.46092076542006266,0.0789070498882749,0.09830926152715318,0.8216729577253054,-0.14652743745310148,1.4609207654200627,84.0,0.031353618795056715,0.7171996095315941,-0.06461070411940306
18,2016-08-16,2021-08-15,2021-08-16,2021-12-15,126,9,200,60,0.15,0.25,0.35,0.5662385370727347,0.09405979502643613,0.10196366456963267,0.9326403966131148,-0.14652743745310137,1.5662385370727347,86.0,-0.013675413616961007,-0.17322613388948785,-0.12053968890104916
19,2016-12-16,2021-12-15,2021-12-16,2022-04-15,126,9,200,60,0.15,0.25,0.35,0.4650212008821637,0.07942258399199842,0.10867027102525062,0.7584399149512673,-0.1465274374531007,1.4650212008821637,83.0,0.1998227367508918,3.186947681389036,-0.08630821003482347
20,2017-04-16,2022-04-15,2022-04-16,2022-08-15,126,9,200,60,0.15,0.25,0.35,0.617346972396893,0.10112111276933655,0.11586967181447703,0.8880878453532862,-0.14652743745310237,1.617346972396893,83.0,-0.056083549026257784,-1.13717947103225,-0.1179317027330038
21,2017-08-16,2022-08-15,2022-08-16,2022-12-15,126,9,200,60,0.15,0.25,0.35,0.5659119553046905,0.09390636273653441,0.11886461705337595,0.8154891337607958,-0.14652743745310226,1.5659119553046905,86.0,-0.11397233686983033,-2.829806762013612,-0.145042304378471
22,2017-12-16,2022-12-15,2022-12-16,2023-04-15,126,9,200,60,0.15,0.25,0.35,0.38380444583573836,0.06724774346499207,0.12051288585711904,0.6004012488947488,-0.18871746325222316,1.3838044458357384,81.0,0.011012151905183787,0.37039424409038624,-0.0661341704253301
23,2018-04-16,2023-04-15,2023-04-16,2023-08-15,126,9,200,60,0.15,0.25,0.35,0.3729412702030479,0.06552673786423613,0.11590380751052536,0.6055368687018666,-0.2155385358836972,1.372941270203048,84.0,-0.05467744250760198,-1.8808885214119018,-0.06304119046170109
24,2018-08-16,2023-08-15,2023-08-16,2023-12-15,126,9,200,60,0.15,0.25,0.35,0.33789219776943047,0.05998944850818422,0.11657216877192644,0.5591163902788272,-0.2170531264125869,1.3378921977694305,86.0,-0.04944655391359132,-1.1662579144882943,-0.1138083472890451
25,2018-12-16,2023-12-15,2023-12-16,2024-04-15,126,9,200,60,0.15,0.25,0.35,0.2562515979338984,0.04674228516795331,0.11951475560913251,0.4420134704657865,-0.2625797902685082,1.2562515979338984,81.0,0.1607217621703072,5.128698939026914,-0.04847528772120191
26,2019-04-16,2024-04-15,2024-04-16,2024-08-15,126,9,200,60,0.15,0.25,0.35,0.5047021529842064,0.08516297488153124,0.12100207470479808,0.7371818710661806,-0.2670199161779825,1.5047021529842064,85.0,-0.06217822880252666,-1.1885762442447005,-0.11961993580238006
27,2019-08-16,2024-08-15,2024-08-16,2024-12-15,126,9,200,60,0.15,0.25,0.35,0.41908035920582853,0.07252039668356036,0.12585528251034456,0.6202422106384539,-0.2670199161779816,1.4190803592058285,84.0,0.04574702877413506,1.1225298998950306,-0.05412318881209166
28,2019-12-16,2024-12-15,2024-12-16,2025-04-15,126,9,200,60,0.15,0.25,0.35,0.3745245721719772,0.0657726847648934,0.12498489411174822,0.5725181386746812,-0.26701991617798226,1.3745245721719772,82.0,0.012990860659421344,0.2982751333499347,-0.11435310428788015
29,2020-04-16,2025-04-15,2025-04-16,2025-08-15,126,5,200,60,0.15,0.25,0.35,0.2905721810273567,0.052377697041163795,0.13229871085992712,0.45285788904466523,-0.2775605296826168,1.2905721810273567,84.0,0.04959847924028016,1.2097847173368075,-0.050836724722838955
30,2020-08-16,2025-08-15,2025-08-16,2025-12-15,126,5,200,60,0.15,0.25,0.35,0.18630513489023137,0.03480278072397569,0.12946157897575278,0.3296593556717493,-0.2775605296826197,1.1863051348902314,84.0,0.14215372315261154,3.6155827734539416,-0.034067128180771955
31,2020-12-16,2025-12-15,2025-12-16,2026-04-15,252,5,200,60,0.15,0.25,0.35,0.3350035027717724,0.05953100607679529,0.11651857728070797,0.5563509483670249,-0.21718710320764434,1.3350035027717724,82.0,0.09177562567551156,1.3483638139611784,-0.10251190978900826
