,return
2020-09-03,-0.011445263371225978
2020-09-04,0.012203787505364216
2020-09-08,-0.007861341432002344
2020-09-09,0.007918606795158212
2020-09-10,-0.009486270420503984
2020-09-11,0.008809921326692782
2020-09-14,0.008503914205683971
2020-09-15,-0.0001266029224253895
2020-09-16,0.001220184284300041
2020-09-17,-0.0029609882080600114
2020-09-18,0.0011141769950666625
2020-09-21,-0.021347000837817154
2020-09-22,-0.0013116723907555805
2020-09-23,-0.024268462813785363
2020-09-24,0.005436590175130984
2020-09-25,-0.0002739268654341487
2020-09-28,0.011280431901998567
2020-09-29,0.002869934958826592
2020-09-30,-0.0017388177851188624
2020-10-01,-0.00901181613370805
2020-10-02,0.003484319597780061
2020-10-05,0.005135063207281743
2020-10-06,-0.01130497740203884
2020-10-07,0.009837815333075373
2020-10-08,0.0021760111800086523
2020-10-09,0.016251083850911563
2020-10-12,-0.002590239929814775
2020-10-13,-0.008627736228532745
2020-10-14,-6.316564442399031e-05
2020-10-15,0.005605354149952113
2020-10-16,-0.0030306672336714024
2020-10-19,0.00048209718821135006
2020-10-20,0.010558509991597465
2020-10-21,0.00822119923767306
2020-10-22,-0.006231135874879223
2020-10-23,0.0018475968686517685
2020-10-26,-0.00955367902442772
2020-10-27,0.0015456773877986496
2020-10-28,-0.00985454945535813
2020-10-29,-0.002275481667209478
2020-10-30,0.0002593595346640498
2020-11-02,0.00813444743051206
2020-11-03,0.002728147696665628
2020-11-04,0.003008159649087405
2020-11-05,0.013733611111160782
2020-11-06,0.006280361286029601
2020-11-09,-0.014618254200479797
2020-11-10,0.004708045047061127
2020-11-11,-0.0027908147812268913
2020-11-12,0.00033007455128197805
2020-11-13,0.006717196649868251
2020-11-16,0.008861241941476417
2020-11-17,0.0009800883027939467
2020-11-18,-0.00023174076377707742
2020-11-19,5.432640719171822e-05
2020-11-20,0.006425874774309559
2020-11-23,-0.008477785708119967
2020-11-24,0.0004261969846794944
2020-11-25,-0.0012694168673664796
2020-11-27,0.005449435390688873
2020-11-30,-0.0007983962022864999
2020-12-01,0.011436645128345857
2020-12-02,0.0025600116323538646
2020-12-03,0.0046669350035384305
2020-12-04,0.008353073649800535
2020-12-07,-0.0038877163393998826
2020-12-08,-0.0015208517724754067
2020-12-09,-0.005498135045365671
2020-12-10,0.014287286115505005
2020-12-11,-0.008713292258544003
2020-12-14,0.00013349717370503278
2020-12-15,0.010020868884805578
2020-12-16,0.005677309206214121
2020-12-17,0.010609745496556133
2020-12-18,0.00010429955674751135
2020-12-21,-0.007966333814621196
2020-12-22,-0.016373232206976285
2020-12-23,0.011393131471435058
2020-12-24,0.004171231243619733
2020-12-28,0.004165027338242311
2020-12-29,-0.0006608211161750477
2020-12-30,0.006151159807961104
2020-12-31,-0.00269361026999948
2021-01-04,0.005250949979767716
2021-01-05,0.016094982652638867
2021-01-06,-0.0034994203851228534
2021-01-07,0.0055987294325807735
2021-01-08,-0.017867558731927802
2021-01-11,-0.017516033911325946
2021-01-12,0.018937876935105624
2021-01-13,-0.0007139880407485144
2021-01-14,0.009943405407747852
2021-01-15,-0.015637957438567107
2021-01-19,0.004480510794197423
2021-01-20,0.008391568984925213
2021-01-21,0.003915649766447427
2021-01-22,-0.011960466069120712
2021-01-25,0.002431724467635732
2021-01-26,0.0012347170374196192
2021-01-27,-0.014005123817301679
2021-01-28,0.007154904446021293
2021-01-29,-9.000398712133428e-05
2021-02-01,0.015425686158606622
2021-02-02,-0.010707387557427839
2021-02-03,0.010273976856269185
2021-02-04,-7.940563071406892e-05
2021-02-05,0.013568839753931972
2021-02-08,0.014907919628970312
2021-02-09,0.006199241599126992
2021-02-10,0.00934067113567938
2021-02-11,-0.0018522929223641071
2021-02-12,0.011064332197266324
2021-02-16,0.007934141114457116
2021-02-17,0.002323014957358094
2021-02-18,0.0007248424108321494
2021-02-19,0.005157463863727507
2021-02-22,0.02102609782957532
2021-02-23,-0.00048741304202426505
2021-02-24,0.015760236394180893
2021-02-25,-0.013357095182344736
2021-02-26,-0.023240202958903278
2021-03-01,-0.00310910389128749
2021-03-02,0.006107309340797729
2021-03-03,-0.0004592249776439461
2021-03-04,-0.001361068145792621
2021-03-05,0.020460054228887525
2021-03-08,-0.006982998726747902
2021-03-09,-0.0026839831500482525
2021-03-10,0.007989038831091255
2021-03-11,0.014007247113405175
2021-03-12,-0.0018894461837878351
2021-03-15,0.0017083733119653832
2021-03-16,-0.009606406061886563
2021-03-17,0.006202907390451484
2021-03-18,-0.03139201857938567
2021-03-19,0.012601273324802209
2021-03-22,0.0022626411875628083
2021-03-23,-0.028641952047691155
2021-03-24,0.017666669914602195
2021-03-25,-0.01521485382744503
2021-03-26,0.022423736771500558
2021-03-29,0.0006368533038663138
2021-03-30,-0.01252871105060649
2021-03-31,-0.0014465213459639026
2021-04-01,0.013030448292795205
2021-04-05,-0.0034165154048727553
2021-04-06,0.005369534077773741
2021-04-07,-0.0023707514645886496
2021-04-08,0.0031057255760746916
2021-04-09,-0.005953755389454862
2021-04-12,-0.004659211591208301
2021-04-13,0.002601245328510249
2021-04-14,0.01552979130154597
2021-04-15,0.009507907044987496
2021-04-16,-0.002642466398608101
2021-04-19,0.004700946232378156
2021-04-20,-0.003905449785691517
2021-04-21,0.00748565417075886
2021-04-22,-0.0014501288429630277
2021-04-23,0.008925679010673537
2021-04-26,0.011376813858478885
2021-04-27,0.0034708830907348442
2021-04-28,0.00018612988851107737
2021-04-29,-0.0017849085974773748
2021-04-30,-0.004501333078052228
2021-05-03,0.011999399846141623
2021-05-04,0.003735399401261663
2021-05-05,0.0032630926981691566
2021-05-06,0.01360655530287258
2021-05-07,0.0072769899454097065
2021-05-10,-0.00581558642903679
2021-05-11,0.008432112499444644
2021-05-12,-0.009949115631835315
2021-05-13,-0.014474584029539828
2021-05-14,0.005040377535661111
2021-05-17,0.011427603156612731
2021-05-18,-0.00130546029144607
2021-05-19,-0.019352532598905126
2021-05-20,-0.00456241206993846
2021-05-21,-0.0004767706790398396
2021-05-24,0.00600391689220392
2021-05-25,0.0010234621383529152
2021-05-26,7.366835569100338e-05
2021-05-27,0.013333529926016219
2021-05-28,0.0009052897159118611
2021-06-01,0.006748348061113907
2021-06-02,0.0002444586159944251
2021-06-03,-0.016350101240282133
2021-06-04,0.010356378814223577
2021-06-07,0.00032985565779242165
2021-06-08,0.002713129715851359
2021-06-09,-0.003560455828320541
2021-06-10,0.002028905957953908
2021-06-11,0.0018354013911550116
2021-06-14,-0.0019300656376248781
2021-06-15,-0.00958009225240597
2021-06-16,-0.008507195897894282
2021-06-17,-0.032739185625394795
2021-06-18,-0.0010494381577236256
2021-06-21,0.008989160942027619
2021-06-22,0.0013425757085241408
2021-06-23,0.007146468493680169
2021-06-24,0.002101434894105747
2021-06-25,0.0034956253314428753
2021-06-28,0.0005880209042758988
2021-06-29,-0.00522844704788894
2021-06-30,0.009104487803512029
2021-07-01,-0.001794115333565549
2021-07-02,0.005867354330711949
2021-07-06,-0.012540809885614346
2021-07-07,-0.007889647092720553
2021-07-08,0.002568328600125236
2021-07-09,0.013432250397054979
2021-07-12,0.004074871016270576
2021-07-13,0.0004776378424655725
2021-07-14,-0.005116602907015211
2021-07-15,-0.0016575026497011036
2021-07-16,-0.0022195473040249603
2021-07-19,-0.02564995170547102
2021-07-20,0.013649429646519051
2021-07-21,0.01422351107828601
2021-07-22,0.01194904837136157
2021-07-23,0.004638180152786386
2021-07-26,0.013724772328651103
2021-07-27,-0.00986804589824486
2021-07-28,0.001427943463571335
2021-07-29,0.010723174962307347
2021-07-30,-0.01106256601286626
2021-08-02,-0.006942323785775195
2021-08-03,-0.001205915467890617
2021-08-04,-0.010084322751500174
2021-08-05,0.007472119607207173
2021-08-06,-0.0036658974854216764
2021-08-09,-0.012019607762536855
2021-08-10,0.015842090148263432
2021-08-11,0.003799551941889412
2021-08-12,-0.0059068776596977735
2021-08-13,-0.0020919223436445256
2021-08-16,-0.0012715184597614781
2021-08-17,-0.012472232057371135
2021-08-18,-0.012178260032580268
2021-08-19,-0.010124217411077496
2021-08-20,-0.003633620232742274
2021-08-23,0.021223970171432516
2021-08-24,0.01393561892514561
2021-08-25,0.005712437417946026
2021-08-26,0.0022724487442615793
2021-08-27,0.01572803886291685
2021-08-30,0.003413452764638336
2021-08-31,-0.00325988880083361
2021-09-01,-0.0010376605453823462
2021-09-02,0.005215499935455448
2021-09-03,0.0043199037729295675
2021-09-07,-0.011501218864020668
2021-09-08,0.007304022784974551
2021-09-09,0.0010751627029770283
2021-09-10,0.010021937102445033
2021-09-13,0.0031238000864659554
2021-09-14,-0.001068129456553435
2021-09-15,0.014742123245060634
2021-09-16,-0.01431617746947178
2021-09-17,-0.007777419101849037
2021-09-20,-0.011673075740813665
2021-09-21,-0.0011209476343599922
2021-09-22,0.01048307480729127
2021-09-23,0.009268422287683098
2021-09-24,0.006285979996300428
2021-09-27,0.016704697360021115
2021-09-28,-0.00591354609617889
2021-09-29,-0.011806058127840857
2021-09-30,0.007093535179313326
2021-10-01,0.006850316171389315
2021-10-04,0.01243625187156816
2021-10-05,0.006959647588223428
2021-10-06,-0.015195523922775123
2021-10-07,0.013635192943585617
2021-10-08,0.0020072456740762856
2021-10-11,0.005849533983769195
2021-10-12,-0.0008182982949769269
2021-10-13,0.009111579729957686
2021-10-14,0.011279110757097532
2021-10-15,0.009652517051377485
2021-10-18,-0.010254913673104826
2021-10-19,-0.0017289213952568216
2021-10-20,0.009079613740661019
2021-10-21,-0.020931647046774526
2021-10-22,0.0006117955167124212
2021-10-25,0.012275953726244238
2021-10-26,-0.0009404347061096052
2021-10-27,-0.015480299008631238
2021-10-28,0.0035669276638683467
2021-10-29,-0.006045734964412519
2021-11-01,-0.00023664173584814208
2021-11-02,0.00033669526321666865
2021-11-03,-0.008651933079860341
2021-11-04,-0.009918215866797198
2021-11-05,0.006743418762148012
2021-11-08,0.0038809285614471722
2021-11-09,0.0005116845840855699
2021-11-10,-0.008613766261391986
2021-11-11,0.0077432001591792865
2021-11-12,-0.0009620796304574686
2021-11-15,0.0007045849835076723
2021-11-16,0.0001020901544028785
2021-11-17,-0.008634240096477952
2021-11-18,0.004066917652076452
2021-11-19,-0.0033283282358216315
2021-11-22,0.005322118164567735
2021-11-23,0.01329893837418572
2021-11-24,0.00025981039594147326
2021-11-26,-0.04172247346817404
2021-11-29,-0.003187801532147927
2021-11-30,-0.021873631592084886
2021-12-01,-0.013109787336620937
2021-12-02,-0.0029825818326219
2021-12-03,-4.58104054311681e-05
2021-12-06,-0.016060336857390722
2021-12-07,0.003706183985442646
2021-12-08,0.006471210537703387
2021-12-09,-0.003961793917389489
2021-12-10,0.004183940913497164
2021-12-13,0.00016315781519993244
2021-12-14,-0.0033545107014494313
2021-12-15,-0.0009815250341682624
2021-12-16,0.0019864229511417086
2021-12-17,-0.00893458961416671
2021-12-20,-0.010619303298366356
2021-12-21,0.018546033971544196
2021-12-22,0.013992802809838834
2021-12-23,0.005454072474889049
2021-12-27,0.008153506223254059
2021-12-28,-0.0030304936181788644
2021-12-29,0.0032139022334651823
2021-12-30,-8.759145679504421e-05
2021-12-31,-0.0009841675972760422
2022-01-03,-0.003828817312816035
2022-01-04,0.009953370832964659
2022-01-05,-0.005401310522233138
2022-01-06,0.0022595978329156274
2022-01-07,0.00432136612413192
2022-01-10,-0.0061974763443898295
2022-01-11,0.01685469539750528
2022-01-12,0.00825798182324089
2022-01-13,-0.006548285761390549
2022-01-14,0.005800313777336585
2022-01-18,0.002389969420157012
2022-01-19,0.011269121652638825
2022-01-20,0.0027278010005971076
2022-01-21,-0.0042125663956253945
2022-01-24,-0.0036273097367439666
2022-01-25,0.005875542658370092
2022-01-26,-0.00209089345279434
2022-01-27,-0.006499061920155369
2022-01-28,-0.0012985790767265915
2022-01-31,0.002685669939575863
2022-02-01,0.008139767680087173
2022-02-02,0.007118684854498625
2022-02-03,-0.0024811196766969523
2022-02-04,0.006345121220979522
2022-02-07,-0.0026087224062522063
2022-02-08,-0.00330692224949769
2022-02-09,0.013963050091817086
2022-02-10,-0.005055799354892088
2022-02-11,0.0005431793023211728
2022-02-14,0.00503309132203289
2022-02-15,-0.00417620317318157
2022-02-16,0.0019198131559765574
2022-02-17,0.001841712766194492
2022-02-18,0.0015488843105933014
2022-02-22,0.009087589279661579
2022-02-23,0.0005767697922263171
2022-02-24,0.006807601459872581
2022-02-25,-0.01036809789909987
2022-02-28,0.009776115176157507
2022-03-01,0.030429009744780133
2022-03-02,0.017330982402661288
2022-03-03,0.008872164359854384
2022-03-04,0.024765050794331778
2022-03-07,0.005805668673796616
2022-03-08,0.014469026224255943
2022-03-09,-0.05113352649495395
2022-03-10,0.003245452216720013
2022-03-11,0.0022001464108278856
2022-03-14,-0.02404927088958786
2022-03-15,-0.018692617230393727
2022-03-16,0.005451527079002982
2022-03-17,0.022429999996379735
2022-03-18,-0.00026984179882461046
2022-03-21,0.02152731717356815
2022-03-22,-0.004000688562502908
2022-03-23,0.020171546285910225
2022-03-24,-0.006589153016600902
2022-03-25,0.0019018101621990358
2022-03-28,-0.021491021386852216
2022-03-29,-0.0008915363949889565
2022-03-30,0.01180950514857404
2022-03-31,-0.011627577476839956
2022-04-01,-0.0015281431132171397
2022-04-04,0.006742052764903139
2022-04-05,-0.00321835968855555
2022-04-06,-0.0019358237876283546
2022-04-07,0.002306612828875343
2022-04-08,0.006017377376308364
2022-04-11,-0.0007666621935246143
2022-04-12,0.013853864964280094
2022-04-13,0.007949719246072462
2022-04-14,0.0014343307614317347
2022-04-18,0.011627426954626818
2022-04-19,-0.019942198499857122
2022-04-20,-0.0020356280583165853
2022-04-21,-0.001207977914184144
2022-04-22,-0.015956800728913367
2022-04-25,-0.01237480696866633
2022-04-26,-0.0013403838799732615
2022-04-27,0.001634773345063012
2022-04-28,-0.0011102181676374556
2022-04-29,-0.006455560572507513
2022-05-02,-0.005777420108748155
2022-05-03,-0.002887370007473189
2022-05-04,0.01792662566684844
2022-05-05,-0.000733316104521986
2022-05-06,-0.007380100097825193
2022-05-09,-0.02705403370851789
2022-05-10,-0.0034243563322401416
2022-05-11,0.017316385037605686
2022-05-12,-0.002334554571043146
2022-05-13,0.005330960416053854
2022-05-16,0.013097749977607709
2022-05-17,0.0006597351645045713
2022-05-18,-0.009199651337127634
2022-05-19,0.007967283933882463
2022-05-20,0.0005732223038246165
2022-05-23,0.009491479146819692
2022-05-24,-0.0017321442772433304
2022-05-25,-0.0008200978889275623
2022-05-26,0.0026677944854360813
2022-05-27,0.0044245692370747935
2022-05-31,-0.009135539865297249
2022-06-01,0.003317293931980103
2022-06-02,0.003591874036547038
2022-06-03,0.0014526023536205468
2022-06-06,0.005930281034580043
2022-06-07,0.00341652427311967
2022-06-08,-0.00089863183984773
2022-06-09,0.0001605722408655197
2022-06-10,-0.0021228638902990316
2022-06-13,-0.006536487067484331
2022-06-14,-0.0157963278624369
2022-06-15,0.001548348550815648
2022-06-16,0.004138236891421565
2022-06-17,-0.014777600617685516
2022-06-21,-0.0023713397825309013
2022-06-22,-0.007273103890070964
